scope,k,arm,n_persons,n_targets,n_seeds,n_attempts,successes,rate,ci_lower,ci_upper,tau,tau_lower,tau_upper
pooled,24,trained,25,48,3,144,118,0.8194444444444444,0.7482993197278912,0.8865248226950354,-0.05555555555555558,-0.14285767055048976,0.030612896222318633
pooled,24,control,25,48,3,144,126,0.875,0.8188405797101449,0.927536231884058,-0.05555555555555558,-0.14285767055048976,0.030612896222318633
pooled,32,trained,25,48,3,144,128,0.8888888888888888,0.8297872340425532,0.9432624113475178,-0.04166666666666674,-0.11111111111111105,0.025653930050281007
pooled,32,control,25,48,3,144,134,0.9305555555555556,0.891156462585034,0.9659863945578231,-0.04166666666666674,-0.11111111111111105,0.025653930050281007
pooled,48,trained,25,48,3,144,133,0.9236111111111112,0.8680555555555556,0.9710144927536232,0.01388888888888895,-0.05949124330583302,0.08500085034013612
pooled,48,control,25,48,3,144,131,0.9097222222222222,0.855072463768116,0.9574468085106383,0.01388888888888895,-0.05949124330583302,0.08500085034013612
pooled,64,trained,25,48,3,144,130,0.9027777777777778,0.8541666666666666,0.9455782312925171,-0.06944444444444442,-0.12334627788056328,-0.0171513526779815
pooled,64,control,25,48,3,144,140,0.9722222222222222,0.9455782312925171,0.9931972789115646,-0.06944444444444442,-0.12334627788056328,-0.0171513526779815
ssn,0,trained,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,0,control,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,1,trained,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,1,control,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,2,trained,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,2,control,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,3,trained,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,3,control,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,4,trained,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,4,control,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.0,-0.14311661845042686,0.14311661845042686
ssn,6,trained,23,23,3,69,1,0.014492753623188406,0.0,0.043478260869565216,0.014492753623188406,-0.1292511433614137,0.16687528971304966
ssn,6,control,23,23,3,69,0,0.0,0.0,0.14311661845042686,0.014492753623188406,-0.1292511433614137,0.16687528971304966
ssn,8,trained,23,23,3,69,8,0.11594202898550725,0.043478260869565216,0.2028985507246377,0.0,-0.11594202898550723,0.11594202898550723
ssn,8,control,23,23,3,69,8,0.11594202898550725,0.043478260869565216,0.2028985507246377,0.0,-0.11594202898550723,0.11594202898550723
ssn,12,trained,23,23,3,69,22,0.3188405797101449,0.2028985507246377,0.4492753623188406,0.028985507246376774,-0.1449275362318841,0.21739130434782608
ssn,12,control,23,23,3,69,20,0.2898550724637681,0.15942028985507245,0.42028985507246375,0.028985507246376774,-0.1449275362318841,0.21739130434782608
ssn,16,trained,23,23,3,69,31,0.4492753623188406,0.3333333333333333,0.5652173913043478,-0.043478260869565244,-0.21739130434782605,0.13043478260869562
ssn,16,control,23,23,3,69,34,0.4927536231884058,0.36231884057971014,0.6231884057971014,-0.043478260869565244,-0.21739130434782605,0.13043478260869562
ssn,20,trained,23,23,3,69,43,0.6231884057971014,0.4927536231884058,0.7536231884057971,0.0,-0.18840579710144928,0.18840579710144922
ssn,20,control,23,23,3,69,43,0.6231884057971014,0.4927536231884058,0.7536231884057971,0.0,-0.18840579710144928,0.18840579710144922
ssn,24,trained,23,23,3,69,43,0.6231884057971014,0.4782608695652174,0.7536231884057971,-0.1159420289855072,-0.30434782608695643,0.07246376811594202
ssn,24,control,23,23,3,69,51,0.7391304347826086,0.6231884057971014,0.8405797101449275,-0.1159420289855072,-0.30434782608695643,0.07246376811594202
