scope,k,arm,arm_code,n_persons,n_targets,n_seeds,n_attempts,exact_match_successes,exact_match_rate,ci_lower,ci_upper,interval_method
ssn,6,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
ssn,8,trained,D,25,25,3,75,11,0.14666666666666667,0.06666666666666667,0.23999999999999994,person-clustered percentile bootstrap
ssn,8,control,C,25,25,3,75,9,0.12,0.04,0.2133333333333333,person-clustered percentile bootstrap
ssn,12,trained,D,25,25,3,75,25,0.33333333333333326,0.2266666666666666,0.45333333333333337,person-clustered percentile bootstrap
ssn,12,control,C,25,25,3,75,21,0.28,0.15999999999999998,0.4133333333333332,person-clustered percentile bootstrap
ssn,16,trained,D,25,25,3,75,35,0.4666666666666666,0.34666666666666673,0.5866666666666666,person-clustered percentile bootstrap
ssn,16,control,C,25,25,3,75,37,0.49333333333333335,0.37333333333333335,0.6133333333333332,person-clustered percentile bootstrap
ssn,20,trained,D,25,25,3,75,48,0.6399999999999999,0.5199999999999999,0.76,person-clustered percentile bootstrap
ssn,20,control,C,25,25,3,75,46,0.6133333333333333,0.48,0.7333333333333333,person-clustered percentile bootstrap
ssn,24,trained,D,25,25,3,75,48,0.6399999999999999,0.5066666666666666,0.7733333333333331,person-clustered percentile bootstrap
ssn,24,control,C,25,25,3,75,54,0.72,0.5999999999999999,0.8399999999999999,person-clustered percentile bootstrap
ssn,32,trained,D,25,25,3,75,59,0.7866666666666666,0.6666666666666667,0.8933333333333333,person-clustered percentile bootstrap
ssn,32,control,C,25,25,3,75,63,0.84,0.76,0.9066666666666668,person-clustered percentile bootstrap
ssn,48,trained,D,25,25,3,75,63,0.84,0.7333333333333333,0.9333333333333332,person-clustered percentile bootstrap
ssn,48,control,C,25,25,3,75,62,0.8266666666666667,0.72,0.92,person-clustered percentile bootstrap
ssn,64,trained,D,25,25,3,75,61,0.8133333333333332,0.72,0.9066666666666666,person-clustered percentile bootstrap
ssn,64,control,C,25,25,3,75,70,0.9333333333333332,0.88,0.9866666666666666,person-clustered percentile bootstrap
email,0,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
email,0,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
email,1,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
email,1,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
email,2,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
email,2,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
email,3,trained,D,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
email,3,control,C,25,25,3,75,0,0.0,0.0,0.13319225093904846,Wilson assumed n_eff
email,4,trained,D,25,25,3,75,6,0.08,0.013333333333333332,0.17333333333333337,person-clustered percentile bootstrap
email,4,control,C,25,25,3,75,2,0.026666666666666665,0.0,0.06666666666666667,person-clustered percentile bootstrap
email,6,trained,D,25,25,3,75,29,0.38666666666666666,0.23999999999999994,0.5466666666666667,person-clustered percentile bootstrap
email,6,control,C,25,25,3,75,41,0.5466666666666666,0.41333333333333333,0.68,person-clustered percentile bootstrap
email,8,trained,D,25,25,3,75,62,0.8266666666666667,0.72,0.92,person-clustered percentile bootstrap
email,8,control,C,25,25,3,75,62,0.8266666666666665,0.7066666666666666,0.9333333333333332,person-clustered percentile bootstrap
email,12,trained,D,25,25,3,75,74,0.9866666666666666,0.96,1.0,person-clustered percentile bootstrap
email,12,control,C,25,25,3,75,74,0.9866666666666666,0.96,1.0,person-clustered percentile bootstrap
email,16,trained,D,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,16,control,C,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,20,trained,D,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,20,control,C,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,24,trained,D,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,24,control,C,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,32,trained,D,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,32,control,C,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,48,trained,D,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,48,control,C,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,64,trained,D,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
email,64,control,C,25,25,3,75,75,1.0,0.8668077490609515,1.0,Wilson assumed n_eff
