field,k,n_persons_per_arm,n_seeds,n_targets_per_arm,n_attempts_per_arm,alpha,alpha_lower,alpha_upper,emr_D,emr_D_lower,emr_D_upper,tau,tau_lower,tau_upper,interval_method,C_attack_elapsed_h,D_attack_elapsed_h,allocated_GPU_h
pooled,24,25,3,50,150,0.86,0.7999999999999998,0.9199999999999998,0.82,0.7533333333333333,0.8866666666666664,-0.040000000000000036,-0.1333333333333332,0.05333333333333323,person-clustered percentile bootstrap,0.7666158560249541,0.7833139129479726,unknown
pooled,32,25,3,50,150,0.92,0.88,0.9533333333333335,0.8933333333333334,0.8333333333333335,0.9466666666666665,-0.026666666666666616,-0.09333333333333338,0.039999999999999925,person-clustered percentile bootstrap,0.8860979008012347,0.8986871740553114,unknown
pooled,48,25,3,50,150,0.9133333333333333,0.86,0.96,0.92,0.8666666666666666,0.9666666666666666,0.00666666666666671,-0.060000000000000275,0.07999999999999974,person-clustered percentile bootstrap,1.2064646278487312,1.2371878821320004,unknown
pooled,64,25,3,50,150,0.9666666666666667,0.9399999999999998,0.9933333333333333,0.9066666666666667,0.8599999999999999,0.9533333333333331,-0.05999999999999994,-0.1133333333333334,-0.00666666666666671,person-clustered percentile bootstrap,1.5694157102372912,1.6855394250154496,unknown
ssn,0,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.004177228940857781,0.004263471431202359,unknown
ssn,1,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.36662550462616816,0.36694484094778695,unknown
ssn,2,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.5626187550359302,0.5651444372865889,unknown
ssn,3,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.5831257385677762,0.5827051093180974,unknown
ssn,4,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.6000101092126634,0.6016180630524953,unknown
ssn,6,25,3,25,75,0.0,0.0,0.13319225093904846,0.013333333333333332,0.0,0.04,0.013333333333333332,-0.12042944165243147,0.1553149521916944,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.6525060125854281,0.6505208375056585,unknown
ssn,8,25,3,25,75,0.12,0.04,0.2133333333333333,0.14666666666666667,0.06666666666666667,0.23999999999999994,0.026666666666666672,-0.09333333333333332,0.14666666666666664,person-clustered percentile bootstrap,0.6839880511495802,0.6651947009563446,unknown
ssn,12,25,3,25,75,0.28,0.15999999999999998,0.4133333333333332,0.33333333333333326,0.2266666666666666,0.45333333333333337,0.05333333333333323,-0.12000000000000002,0.22666666666666666,person-clustered percentile bootstrap,0.6796706836753421,0.6811764548884498,unknown
ssn,16,25,3,25,75,0.49333333333333335,0.37333333333333335,0.6133333333333332,0.4666666666666666,0.34666666666666673,0.5866666666666666,-0.026666666666666727,-0.18666666666666676,0.14666666666666656,person-clustered percentile bootstrap,0.6346545371082094,0.648053723971049,unknown
ssn,20,25,3,25,75,0.6133333333333333,0.48,0.7333333333333333,0.6399999999999999,0.5199999999999999,0.76,0.026666666666666616,-0.14666666666666672,0.20000000000000018,person-clustered percentile bootstrap,0.652275255256229,0.6414597756995095,unknown
ssn,24,25,3,25,75,0.72,0.5999999999999999,0.8399999999999999,0.6399999999999999,0.5066666666666666,0.7733333333333331,-0.08000000000000007,-0.2666666666666666,0.10666666666666658,person-clustered percentile bootstrap,0.6335376696454154,0.6475554654333326,unknown
ssn,32,25,3,25,75,0.84,0.76,0.9066666666666668,0.7866666666666666,0.6666666666666667,0.8933333333333333,-0.053333333333333344,-0.18666666666666676,0.07999999999999985,person-clustered percentile bootstrap,0.7099757443534004,0.7121197022994359,unknown
ssn,48,25,3,25,75,0.8266666666666667,0.72,0.92,0.84,0.7333333333333333,0.9333333333333332,0.013333333333333308,-0.12000000000000033,0.1599999999999998,person-clustered percentile bootstrap,0.9199178561899397,0.9589530113670561,unknown
ssn,64,25,3,25,75,0.9333333333333332,0.88,0.9866666666666666,0.8133333333333332,0.72,0.9066666666666666,-0.12,-0.2266666666666668,-0.01333333333333342,person-clustered percentile bootstrap,1.1587274934185876,1.263034367163976,unknown
email,0,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.004336254199345906,0.004433978133731418,unknown
email,1,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.3655694821808073,0.3679580765300327,unknown
email,2,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.5612199597888523,0.5696499034431246,unknown
email,3,25,3,25,75,0.0,0.0,0.13319225093904846,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.5794443567593892,0.5870102839999729,unknown
email,4,25,3,25,75,0.026666666666666665,0.0,0.06666666666666667,0.08,0.013333333333333332,0.17333333333333337,0.05333333333333334,-0.026666666666666665,0.15999999999999998,person-clustered percentile bootstrap,0.5839424177010855,0.5701481027073331,unknown
email,6,25,3,25,75,0.5466666666666666,0.41333333333333333,0.68,0.38666666666666666,0.23999999999999994,0.5466666666666667,-0.15999999999999998,-0.3733333333333333,0.053333333333333066,person-clustered percentile bootstrap,0.43239887959427303,0.47064630263381535,unknown
email,8,25,3,25,75,0.8266666666666665,0.7066666666666666,0.9333333333333332,0.8266666666666667,0.72,0.92,1.1102230246251565e-16,-0.14666666666666672,0.14666666666666694,person-clustered percentile bootstrap,0.2670224686463674,0.275138208799892,unknown
email,12,25,3,25,75,0.9866666666666666,0.96,1.0,0.9866666666666666,0.96,1.0,0.0,-0.039999999999999925,0.039999999999999813,person-clustered percentile bootstrap,0.13474711332056258,0.1382082713312573,unknown
email,16,25,3,25,75,1.0,0.8668077490609515,1.0,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.11536916984452142,0.10996551858054267,unknown
email,20,25,3,25,75,1.0,0.8668077490609515,1.0,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.12980806893772548,0.12426915936999851,unknown
email,24,25,3,25,75,1.0,0.8668077490609515,1.0,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.13307818637953864,0.13575844751463997,unknown
email,32,25,3,25,75,1.0,0.8668077490609515,1.0,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.17612215644783444,0.18656747175587549,unknown
email,48,25,3,25,75,1.0,0.8668077490609515,1.0,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.28654677165879144,0.2782348707649443,unknown
email,64,25,3,25,75,1.0,0.8668077490609515,1.0,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.41068821681870354,0.42250505785147346,unknown
